0 47 1 -1 1.17311 0.0271449 0 0 
1 47 2 -1 1.07867 0.030498 0 0 
2 47 3 -1 0.973128 0.0241566 0 0 
3 47 4 -1 1.03306 0.0317225 0 0 
4 47 5 -1 0.939797 0.0204065 0 0 
5 47 6 -1 0.888248 0.0229288 0 0 
6 47 7 -1 1.01059 0.0217491 0 0 
7 47 8 -1 1.09272 0.030622 0 0 
8 47 9 -1 1.09846 0.0385969 0 0 
9 47 10 -1 0.926098 0.0270014 0 0 
10 47 11 -1 0.947961 0.0206684 0 0 
11 47 12 -1 0.991358 0.0400361 0 0 
12 47 13 -1 1.05042 0.032903 0 0 
13 47 14 -1 0.974462 0.0256365 0 0 
14 47 15 -1 0.959335 0.0309353 0 0 
15 47 16 -1 0.97519 0.0206161 0 0 
16 47 17 -1 1.0933 0.0263185 0 0 
17 47 18 -1 0.996139 0.0155062 0 0 
18 47 19 -1 0.97473 0.0112493 0 0 
19 47 20 -1 0.960083 0.0119192 0 0 
20 47 21 -1 0.994276 0.0105008 0 0 
21 47 22 -1 0.995013 0.00780996 0 0 
22 47 23 -1 0.988538 0.00763313 0 0 
23 47 24 -1 0.973925 0.00693802 0 0 
24 47 25 -1 0.995216 0.00717084 0 0 
25 47 26 -1 0.936547 0.00516706 0 0 
26 47 27 -1 0.964018 0.00496612 0 0 
27 47 28 -1 0.977045 0.00753475 0 0 
28 47 29 -1 0.988618 0.0067717 0 0 
29 47 30 -1 1.00271 0.00671169 0 0 
30 47 31 -1 0.957883 0.0052061 0 0 
31 47 32 -1 0.956128 0.00511595 0 0 
32 47 33 -1 0.971145 0.00849754 0 0 
33 47 34 -1 1 1 0 0 
34 47 35 -1 1 1 0 0 
35 47 36 -1 1 1 0 0 
36 47 37 -1 1 1 0 0 
37 47 38 -1 1 1 0 0 
38 47 39 -1 1 1 0 0 
39 47 62 -1 1 1 0 0 
40 47 63 -1 1 1 0 0 
41 47 64 -1 1 1 0 0 
42 47 65 -1 1 1 0 0 
43 47 66 -1 1 1 0 0 
44 47 67 -1 1 1 0 0 
45 47 68 -1 1.01402 0.0236548 0 0 
46 47 69 -1 0.979983 0.00527481 0 0 
47 47 70 -1 0.962651 0.00452682 0 0 
48 47 71 -1 0.979149 0.00550758 0 0 
49 47 72 -1 1.0287 0.00679451 0 0 
50 47 73 -1 0.995324 0.00672857 0 0 
51 47 74 -1 0.993497 0.00619471 0 0 
52 47 75 -1 1.01983 0.00771193 0 0 
53 47 76 -1 1.00975 0.0092725 0 0 
54 47 77 -1 1.02329 0.00734195 0 0 
55 47 78 -1 0.989954 0.0081154 0 0 
56 47 79 -1 1.02585 0.0101263 0 0 
57 47 80 -1 1.00012 0.0104231 0 0 
58 47 81 -1 0.968879 0.0112638 0 0 
59 47 82 -1 1.00206 0.0129656 0 0 
60 47 83 -1 1.05737 0.0244437 0 0 
61 47 84 -1 1.03598 0.0267344 0 0 
62 47 85 -1 0.973927 0.018351 0 0 
63 47 86 -1 0.950308 0.0294168 0 0 
64 47 87 -1 0.949786 0.0208379 0 0 
65 47 88 -1 0.991349 0.0188259 0 0 
66 47 89 -1 0.962371 0.0270146 0 0 
67 47 90 -1 0.948526 0.013994 0 0 
68 47 91 -1 0.962281 0.0236809 0 0 
69 47 92 -1 0.945924 0.0175666 0 0 
70 47 93 -1 1.02101 0.0196935 0 0 
71 47 94 -1 0.927229 0.0291551 0 0 
72 47 95 -1 0.953261 0.0266749 0 0 
73 47 96 -1 0.966296 0.0229883 0 0 
74 47 97 -1 0.989322 0.0228218 0 0 
75 47 98 -1 0.996524 0.0229884 0 0 
76 47 99 -1 1.18394 0.0410222 0 0 
77 47 100 -1 0.991978 0.0188488 0 0 
